review,sentiment
"Save the $8.97 you'll spend at Walmart to buy this DVD and go see the real film by Steven Spielberg.<br /><br />I'm a filmmaker, and being an avid fan of H.G. Wells, I had to buy this hoping to sit down and watch three hours of good entertainment. Instead, it took four days to finish watching this because I couldn't stand watching more than 10 minutes at a time. It's horrible.<br /><br />There are reports that Timothy Hines had a $20 Million budget for this production. Where the heck did it go? Did he use most of it to buy a new house? Finance his retirement? Or what? Let me start with what is actually good about this film. It does stay true to the book AND there are a few good performances in it. I can respect the actors who obviously tried to make this a good film. But good performances were quickly overshadowed by horrible... and I do mean horrible special effects. Any freshman film school student could have done a much better job with the CGI. To me, most of it looked like ""stop action"" card board cutouts that were used rather than sophisticated CGI software that a $20 Million project should be using.<br /><br />There's no excuse for the amateur post production that was applied to this film. My own partner and I sat down and recreated our version of the Ferry scene using software that cost less than $1500.00 and within a day had five minutes of scene that looked better and more realistic than what Hines created. I've seen films with budgets of less than $2 Million look better. Much better.<br /><br />In my opinion the special effects used in the original King Kong were more sophisticated and better than Hines' special effects in this film. IN fact, I have a much better appreciation for Attack of the Killer Tomatoes because of this film. There's no excuse with today's technology for a film to look like a 50's B-Movie unless that was the intention, which shouldn't have been with this particular project.<br /><br />A problem I had with the DVD transfer was that the film is jerky, another demonstration of amateur film-making.<br /><br />Overall, I have to say that I produced a $45,000 project in 2003 that have better cinematography and special effects than this film.<br /><br />I strongly encourage anyone who appreciates good film-making or who is a fan of WOTW to leave this film on the shelf and watch Attack of the 50 Foot Woman instead. It would be easier on the eyes.",negative
"The ultimate gritty heist film. Elements of Bogie, Welles & Sinatra will leave you sweating & satisfied. In comparison, it really upsets the proverbial apple cart to see recent films, such as ""Oceans Eleven (remake)"", reviewed in such high regard-especially in Europe. Films like Rififi must be shown, spoke about, and kept alive to remind younger (pathetic) critics what true classic Noir is.<br /><br />Criterion should be commended in their flawless and classy transfer.",positive
"This movie works because it feels so genuine. The story is simple and realistic, perfectly capturing the joys and anxieties of adolescent love and sexuality that most/all of us experienced during our teen years.<br /><br />The actors are as natural as figures in a documentary but are as convincing and as charismatic as seasoned performers. The dialogue is fresh and honest... and thankfully not filled to the brim with cutesy pop culture references. Also, the cinematography is at once gritty and beautiful, bringing the Lower East Side setting to life in a very tangible way.<br /><br />On an artistic level, I love this movie because it reminds me of great Italian neo-realism films like The Bicycle Thief and La Strada. Movies rarely feel as ""real"" as this does ... or as Bicycle Thief did. And the only other movie I've seen that treats teen sexuality with the same level of seriousness is Elia Kazan's Splendor in the Grass. Writer/director Peter Sollett deserves tremendous praise. This film is quite an achievement.<br /><br />On a personal level, I am always glad to see a movie that treats members of ethnic America with love and respect. As an Italian-American, I hate the way my own people come off in the cinema (as racist, womanizing, criminal geniuses in irritatingly popular epics), and my aggravation on this count makes me acutely sensitive to other groups and their awful silver screen representations. Hispanics and Asians in particular seem cursed to playing villains in Westerns and action movies. (Good thing Gong Li didn't try to become famous in America!)<br /><br />Of course, thanks largely to the rise of indie pictures, and the influence of Miramax, we are seeing a few more pictures about ethnic characters here and there ... but Raising Victor Vargas is easily one of the best. While I do really like My Big Fat Greek Wedding, it is a refreshing change that Raising Victor Vargas is played straight (with less exaggerated and broadly-drawn characters) while still being very funny in its own right. Finally! Latino characters worthy of note. I have a feeling that this is a film that will be remembered.<br /><br />Of course, now that he has made this wonderful picture about a family from the Dominican Republic, I hope Peter Sollett gets around to making a movie about Italians soon! :) - Marc DiPaolo",positive
"So far I disliked every single Jean Rollin movie I've seen, and that always bothered me because he's an acclaimed Euro-trash monument and extremely popular amongst many regular reviewers on this lovely website; people whose opinions I always value and usually concur with. Apparently everybody always appears to pinpoint some sort of gloomy and stylistic filming trademarks in his work that are completely lost on me. Rollin's movies are unimaginably boring, they all feature the same basic concept (lesbian vampires in various settings), the dialogs are incredibly absurd, the marvelous Gothic setting are always underused and the production values are cheaper than the price of a bus ticket. I had actually given up on Rollin's repertoire already (especially after enduring ""The Iron Rose""), until I found out about ""Night of the Hunted"". Allegedly, this movie doesn't feature any lame lesbian vampires and stands as a bona fide horror movie with gruesome killings and macabre plot twists. And the verdict is  yes and no! On one hand, this is undeniably the most compelling and inventive Rollin film I had the pleasure of seeing thus far (and also the only one that I watching without dozing off). On the other hand, it still remains a moronic movie with a nonsensical plot and emotionless sex sequences to compensate for the dullness. Jean Rollin heavily attempts to generate an atmosphere of secrecy and suspense, mostly through a lack of information and vaguely introduced characters, but barely manages to hide the fact he actually hasn't got a story to tell at all. The unearthly beautiful lead actress Brigitte Lahaie and the beautifully ominous musical guidance are the only elements that keep you hooked on the screen. During a nightly drive back home to Paris, a young man abruptly has to stop for a confused and scarcely dressed girl who comes running from the woods. Her name is Elisabeth but furthermore she can't remember anything about herself and from what or whom she was running away. Her case of amnesia is so bad she even continuously forgets who picked her up. The next day, she's kidnapped again by an old guy and taken to a sinister apartment complex where multiple people in the same bizarre mental state are held captive. Elisabeth knows nothing, but she does sense she needs to escape from here. Obviously I won't reveal the denouement, but I can assure you it is quite dumb, illogical and far-fetched. Apparently Rollin realized this as well, because the explanation is kept very brief and quick. There's a large number of overly weird and senseless sequences, the sex footage is dire and filmed without passion, the nasty make-up effects look cheap and randomly thrown without actual purpose. As said, the score is mesmerizing and Brigitte Lahaie's perfect body is addictive to glaze at.",negative
"This superior inferiority to the original dumb ""Blind Dead"" movie is another trash bin waste. So many people have hyped up these films that I can't believe what they say about it. Since I was a kid I have heard about how scary and great these films are and I saw them all and was throughly disappointed, was everyone on drugs, from the 1970's or do they just not know how boring this crude is?",negative
"I think that this movie was reasonbaly good. It's kinda weird that now the Olsen twins are 13 and have boyfriends and all. I enjoyed them alot when they were little kids on Full House. Anyway, the casting was good and the movie was somewhat funny. I kind of got mixed up between all the switching places and their names. It's just kind of an older version of It Takes Two.",positive
"This movie succeeds at being one of the most unique movies you've seen. However this comes from the fact that you can't make heads or tails of this mess. It almost seems as a series of challenges set up to determine whether or not you are willing to walk out of the movie and give up the money you just paid. If you don't want to feel slighted you'll sit through this horrible film and develop a real sense of pity for the actors involved, they've all seen better days, but then you realize they actually got paid quite a bit of money to do this and you'll lose pity for them just like you've already done for the film. I can't go on enough about this horrible movie, its almost something that Ed Wood would have made and in that case it surely would have been his masterpiece.<br /><br />To start you are forced to sit through an opening dialogue the likes of which you've never seen/heard, this thing has got to be five minutes long. On top of that it is narrated, as to suggest that you the viewer cannot read. Then we meet Mr. Slater and the barrage of terrible lines gets underway, it is as if he is operating solely to get lines on to the movie poster tag line. Soon we meet Stephen Dorff, who I typically enjoy) and he does his best not to drown in this but ultimately he does. Then comes the ultimate insult, Tara Reid playing an intelligent role, oh help us! Tara Reid is not a very talented actress and somehow she continually gets roles in movies, in my opinion though she should stick to movies of the American pie type. <br /><br />All in all you just may want to see this for yourself when it comes out on video, I know that I got a kick out of it, I mean lets all be honest here, sometimes its comforting to revel in the shortcomings of others.",negative
"As far as I know the real guy that the main actor is playing saw his performance and said it was an outstanding portrayal, I'd agree with him. This is a fantastic film about a quite gifted boy/man with a special body part helping him. Oscar and BAFTA winning, and Golden Globe nominated Daniel Day-Lewis plays Christy Browna crippled man with cerebral palsy who spends most of his life on the floor, in a wheelchair and carried by his family. He has a special left foot though, he can write with it, paint with it and hold things with it. He learns to speak later in the film, it is very good for a guy like him. Also starring Home Alone 2's Oscar winning, and Golden Globe nominated Brenda Fricker as Mrs. Brown and BAFTA winning Ray McAnally as Mr. Brown. It was nominated the Oscars for Best Director for Jim Sheridan, Best Writing, Screenplay Based on Material from Another Medium and Best Picture, it was nominated the BAFTAs for Best Film, Best Make Up Artist and Best Adapted Screenplay. Daniel Day-Lewis was number 85 on The 100 Greatest Movie Stars, he was number 20 on The 50 Greatest British Actors, he was number 9 on Britain's Finest Actors, and he was number 15 on The World's Greatest Actor, and the film was number 28 on The 50 Greatest British Films. Outstanding!",positive
"""Dressed To Kill"", is one of the best thrillers ever made. Its dealings with sex and violence make this a film for adults. Brian De Palma, once again, proves why no other director can match his use of the camera to tell a story. He directs many scenes without dialog, and he tells much of his story, strictly through the use of his visuals, and Pino Donnagio's brilliant score. Filmed in Panavision, the film MUST be seen in widescreen, as De Palma uses the entire width of the film to tell his story. Cropped, on video, ""Dressed To Kill"", is barely the same movie. Solid performances from its cast, superb direction, and, perhaps, the finest film score ever written, make ""Dressed To Kill"" a must see.",positive
"What I liked best in this film is that like the films of Hitchcock, it is a thriller that does not take itself too seriously.<br /><br />Hitchcock understood that people go the the movies to have a good time. Something that Hollywood seems to have forgotten in recent years. This is a thriller, but it has plenty of laughs and always has one eye winking at the camera.<br /><br />Rachel McAdams is wonderful as always. Cillian Murphy is creepier than he was in Batman Begins. In the old days, there were guys who always played the bad guy. We don't see much of that these days because I suspect the Hollywood agents consider it a bad career move, but Cillian Murphy is really good at being bad.<br /><br />The directing is surprising stylish. The story is good but the dialog could have used some sprucing up.<br /><br />""Red Eye"" is a really fun film and people were applauding when the closing credits started rolling. If you are in the mood for an enjoyable escapist thriller, ""Red Eye"" might be your ticket.",positive
"I still count ""Police Squad!"" as the absolute funniest TV show of the 1980s. Somewhere, on BetaMax no less, I have all six episodes. I knew that a show this good wouldn't last and that I had to preserve it for myself. How stupid was ABC? They were quoted as saying that viewers didn't know that ""Police Squad!"" was a comedy because it had no laugh track! Right! When Drebin has a line like ""You take chances just getting up in the morning, driving to work, or sticking your face in a fan."", how can THAT be comedy!?!? I've seen every episode at least ten times and still see something new I missed before. Even the deep backgrounds always have gags ongoing. Don't miss it if you have chance to see an episode, but if you're reading this then you probably already have copies squirreled away someplace as I do.",positive
