,id,Created at,Screen Name,Tweet Text
0,1321203946883444738,Tue Oct 27 21:35:42 +0000 2020,kylegriffin1,"Breaking: New NYT tax report.

Trump's federal income tax records show for the first time that, since 2010, Deutsch… https://t.co/vR8Saha7D7"
1,1321138640794378242,Tue Oct 27 17:16:12 +0000 2020,Fahrenthold,NEW: Previously un-released documents show the government has paid $2.5 million to @realdonaldtrump's businesses. F… https://t.co/BigIarX1ho
2,1321232759516528640,Tue Oct 27 23:30:11 +0000 2020,RepAdamSchiff,"There is no limit to this Administration’s corruption and self-dealing.

Trump compelled the government to patroniz… https://t.co/XJi3Tx2Xg5"
3,1321718194546085893,Thu Oct 29 07:39:08 +0000 2020,MamurphyMaureen,RT @andreafarley: @Timodc 3) Not terribly surprising; I have yet to hear of Trump firing anyone face to face (horrors! so much for the Trum…
4,1321718192587374592,Thu Oct 29 07:39:08 +0000 2020,ResistanceMove,It sure looks like Trump’s national security adviser is campaigning for him in swing states https://t.co/KxtK54YSS2
5,1321718191505199104,Thu Oct 29 07:39:07 +0000 2020,holly_obama,"Yet, tRump supporters can't get enough of him. Go figure. https://t.co/8Sg3iIfAWz"
6,1321718189907087361,Thu Oct 29 07:39:07 +0000 2020,PatAmador1,"RT @SenatorBaldwin: USDA changed their pandemic relief program to exclude dairy losses related to meat production, and that’s unfair to our…"
7,1321718189877768192,Thu Oct 29 07:39:07 +0000 2020,EmpathStoner76,"Everyone around tRump is an enabler. 
#VoteThemAllOut 
That's all."
8,1321718189231845377,Thu Oct 29 07:39:07 +0000 2020,TwoBladeBae,"RT @SenSanders: If Trump could get $287 million of his debt canceled for his bogus real estate deals, please don't tell me we can't cancel…"
9,1321718188208463873,Thu Oct 29 07:39:07 +0000 2020,BetsyBG,@jayblackisfunny @gtconway3d The difference being that Trump will still be acting for his own benefit.
10,1321718187864453121,Thu Oct 29 07:39:06 +0000 2020,roxburghaven,RT @blaireerskine: Woman stranded at MAGA rally in Omaha says Trump wanted to teach them a lesson https://t.co/SvqYw5MnOZ
11,1321718187600261121,Thu Oct 29 07:39:06 +0000 2020,Sylvana404,RT @ChattJazz: .@playtwo .@B52Malmet .@glennkirschner2 .@MalcolmNance Trump's hand picked chairman of the Federal Salary Council resigns in…
12,1321718187537375233,Thu Oct 29 07:39:06 +0000 2020,nwabuezeibe,RT @MaziNnamdiKanu: Below are 2 actors IMPERSONATING Presidents Kim of North Korea &amp; Trump of United States. The RESEMBLANCE is as striking…
13,1321718187000430602,Thu Oct 29 07:39:06 +0000 2020,Len1776,@CottoGottfried @Barnes_Law Are these predictions all for Trump?
14,1321718186757292032,Thu Oct 29 07:39:06 +0000 2020,RD4OU,RT @EmpireMaker2: What has Trump actually done to hurt your life other than triggered the fuck out of you?
15,1321718186723737600,Thu Oct 29 07:39:06 +0000 2020,BEboigbe,RT @KemiOlunloyo: Even Obama and Biden didn't Support Ngozi's nomination. Stop calling Trump a racist. Learn America's foreign policies and…
16,1321718186622939136,Thu Oct 29 07:39:06 +0000 2020,couchtwig,RT @SethAbramson: As good an ad about Trump as I've seen. I hope you'll retweet it. https://t.co/G5e5L0HyRu
17,1321718186245435393,Thu Oct 29 07:39:06 +0000 2020,stephenmdedman,"RT @crikey_news: Even if Joe Biden manages to pull off the giant win needed to snuff Trump, the question of the US' lost legitimacy will re…"
18,1321718185612189702,Thu Oct 29 07:39:06 +0000 2020,GrantDeLaney13,RT @SethAbramson: As good an ad about Trump as I've seen. I hope you'll retweet it. https://t.co/G5e5L0HyRu
19,1321718185444323328,Thu Oct 29 07:39:06 +0000 2020,chrishbenge,"RT @SenSanders: If Trump could get $287 million of his debt canceled for his bogus real estate deals, please don't tell me we can't cancel…"
20,1321718185003872256,Thu Oct 29 07:39:06 +0000 2020,tomorrowjamjar,"RT @SenSanders: If Trump could get $287 million of his debt canceled for his bogus real estate deals, please don't tell me we can't cancel…"
21,1321718184932790273,Thu Oct 29 07:39:06 +0000 2020,Sugarbee141,"RT @draiochta14: help us to defeat Trump-RETWEET

VOTE - “The opposite of love is not hate, it's indifference. The opposite of art is not u…"
22,1321718183821193216,Thu Oct 29 07:39:06 +0000 2020,thegoodnewscafe,RT @JohnZajaros: More lies from @RudyGiuliani! A picture of VP Biden shaking hands with Xi Jinping isn’t proof of anything. @JoeBiden was V…
23,1321718183267569664,Thu Oct 29 07:39:05 +0000 2020,PMCDrums,"RT @brat2381: 🤣😂🤣😭😂🤣You love to see it! 

Trump's disrespect of Sen. Martha McSally was painful to watch https://t.co/BowCU4wyPz via @azcen…"
24,1321718181875060737,Thu Oct 29 07:39:05 +0000 2020,PrimeXvii,"RT @RVAT2020: .@JessicaDenson07 opens up about her time leading the 2016 Trump campaign's Hispanic engagement efforts:

""I thought Trump wa…"
25,1321718181153570816,Thu Oct 29 07:39:05 +0000 2020,masonbr_,"RT @RWTrollPatrol: @TuckerCarlson Duty to warn!  This administration is a transnational crime syndicate.

Trump's ties to organized crime g…"
26,1321718180272693249,Thu Oct 29 07:39:05 +0000 2020,dawnslight2,RT @YesWeCan4Us: @TheJusticeDept Jared and the Saudi Crown Prince Go #Nuclear? Trump and Kushner seem to be trying to boost the prince's pr…
27,1321718179723268098,Thu Oct 29 07:39:05 +0000 2020,tuser5555,"RT @atrupar: ""When you have spaghetti and meat sauce, that mask is not looking [good]. You walk out, it looks like you got into a fight wit…"
28,1321718179224293376,Thu Oct 29 07:39:04 +0000 2020,shanelindberg1,@FluorescentGrey I watched that whole 3 hour Rogan podcast with him last night and I was thinking Alex sys the same… https://t.co/qS0moId9aG
29,1321718178779639808,Thu Oct 29 07:39:04 +0000 2020,ValFrederick,"RT @KamalaHarris: Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…"
30,1321718178255237121,Thu Oct 29 07:39:04 +0000 2020,kathleenwattle,RT @SenKamalaHarris: It’s unthinkable that Senate Republicans have left the American people hanging without passing additional COVID-19 rel…
31,1321718178226032641,Thu Oct 29 07:39:04 +0000 2020,ToolPackinMama,RT @kurteichenwald: Ive been amazed how little it’s mentioned in this election that we are quarantined by the world. Trump lies that anonym…
32,1321718177798230017,Thu Oct 29 07:39:04 +0000 2020,padakitty,"RT @GiselleAlbrech2: @VABVOX This infuriates me every single time. “The worst candidate,” “most unpopular,” “the only one who could lose to…"
33,1321718177751986178,Thu Oct 29 07:39:04 +0000 2020,YolodyKim,RT @candies2639: Sicko Trump! Trump’s sickest moments caught on tape: | Boing Boing https://t.co/aTNX0t94Li
34,1321718177751949312,Thu Oct 29 07:39:04 +0000 2020,DavidJohnson_27,"RT @ByDonkeys: #TrumpPlaysGolf a *lot*
(Location: Trump Turnberry golf course)

https://t.co/bth2aeKSic"
35,1321718177722781696,Thu Oct 29 07:39:04 +0000 2020,Terry15589000,@FoxNews Hmmmm what happened 245 years ago with the British?  I think we shut them up then and we will silence this brit now. TRUMP 2020!!!!
36,1321718177013862400,Thu Oct 29 07:39:04 +0000 2020,thanh_amy,"RT @RBReich: Your reminder that some of the wealthiest Americans were handed a $1,700,000 tax break in the CARES Act.

Meanwhile, working p…"
37,1321718176959389696,Thu Oct 29 07:39:04 +0000 2020,libidoswitch,RT @thehill: Poll: Biden takes 5-point lead over Trump in Georgia https://t.co/k8g1eRdtE4 https://t.co/nZ1qLLEJfh
38,1321718176359632901,Thu Oct 29 07:39:04 +0000 2020,TeeSweet58,RT @OlgaNYC1211: @thehill Oh no! To think pre trump we didn't have any of this? I mean thanks to Trump's handling of covid a whole year got…
39,1321718175768203265,Thu Oct 29 07:39:04 +0000 2020,MrsFinkelstein1,"RT @carolecadwalla: I’m so glad @Nigel_Farage is here, supporting Trump, as this endgame plays out. Because America has investigated Trump.…"
40,1321718175499722752,Thu Oct 29 07:39:04 +0000 2020,RufusLeroyBrown,RT @blaireerskine: Woman stranded at MAGA rally in Omaha says Trump wanted to teach them a lesson https://t.co/SvqYw5MnOZ
41,1321718175281545216,Thu Oct 29 07:39:03 +0000 2020,suzysayshi2u,"RT @BombshellDAILY: PUTIN ORDERS NATIONAL MASK MANDATES FOR ALL OF RUSSIA
Trump is unsurprisingly, unlikely to follow.
#220Kdead #contaigon…"
42,1321718175109537792,Thu Oct 29 07:39:03 +0000 2020,GORT88,"@meiselasb @MeidasTouch .@MeidasTouch!

Scaramucci's spot with Don Lemon today:
""..over the last 100 years, Democra… https://t.co/1Gg7utnHuX"
43,1321718174698639360,Thu Oct 29 07:39:03 +0000 2020,FranklinCarapa1,"RT @Peace_envogue: @catsim1 @GWorthylake @HEAVEN5777 @Franklin_Graham @POTUS ..if you are seriously Christian? 
Ask yourself WWJD?

Do you…"
44,1321718174354706433,Thu Oct 29 07:39:03 +0000 2020,Richard75840017,"Trump news: Farage fawns over president at rally, as White House lashes out at unmasked ‘Anonymou... https://t.co/RdhJkCl7EW via @Yahoo"
