,id,Created at,Screen Name,Tweet Text,Subject,sentiment
0,1321905314665410560,Thu Oct 29 20:02:41 +0000 2020,RBReich,"When you vote, remember that Trump's golf trips have cost taxpayers $142,000,000. That's equivalent to 355 years of presidential salary.",Trump,positive
1,1321860390100201474,Thu Oct 29 17:04:10 +0000 2020,RealJamesWoods,"This smug little number saying her company, #Google, shouldn’t be broken up. Why? Because smaller companies won’t h… https://t.co/XCxmoS4YTc",Trump,negative
2,1322419966998646785,Sat Oct 31 06:07:44 +0000 2020,hermesianax,"RT @charliespiering: Trump leaning hard into MN Democrat officials restricting attendance of his rally: ""Keith Ellison and Joe Biden want t…",Trump,negative
3,1322419966403137537,Sat Oct 31 06:07:44 +0000 2020,PceeProud,"@IndoTweet1 @PeteButtigieg After the debacle the Democrats pulled trying to overthrow Trump for the last 4 years, i… https://t.co/LzrewVtly1",Trump,negative
4,1322419966260359169,Sat Oct 31 06:07:43 +0000 2020,eva333pascoe,RT @puffandretti: @realDonaldTrump NEW VIDEO: Social Security is completely funded by the payroll tax. Trump is cutting the payroll tax and…,Trump,negative
5,1322419966008840193,Sat Oct 31 06:07:43 +0000 2020,joy2850,Why do these #Democrat Presidential candidates always call Trump supporters names? #CrookedHillary called us… https://t.co/jfS6VXf1c6,Trump,negative
6,1322419965949960192,Sat Oct 31 06:07:43 +0000 2020,RicardoWinters8,RT @JohnMTalmadgeMD: This is only the second time I have ever requested a retweet. If you agree that President Biden should restore the ran…,Trump,positive
7,1322419965765525505,Sat Oct 31 06:07:43 +0000 2020,Nancy48026397,RT @catfishyak: Guess why Trump cancelled his election night party at his hotel? Just guess? Because the fucking orange fuckataraus max is…,Trump,negative
8,1322419965690023936,Sat Oct 31 06:07:43 +0000 2020,ChandlerD61,"RT @SteveGuest: Joe Biden refers to Minnesota Trump supporters as “ugly folks”
 https://t.co/TE13SjsCQR",Trump,negative
9,1322419965652279296,Sat Oct 31 06:07:43 +0000 2020,pat4az,"RT @CoffeeBarBooks: A wise young Black man said, ""You may not be racist, or homophobic, or xenophobic, or transphobic. But if you are conti…",Trump,positive
10,1322419965396279296,Sat Oct 31 06:07:43 +0000 2020,AiLagertha,"RT @KeithOlbermann: NEW VIDEO: THE 50 WORST PERSONS IN TRUMP WORLD. From Roger Stone, mediocre Batman Villain, to Moron Twins Eric and Don…",Trump,negative
11,1322419965274841089,Sat Oct 31 06:07:43 +0000 2020,TheTruthLifeAn1,@Ash74617757 @toorsdenote These people are morons. Just another reason to vote for Trump. How can we vote with grou… https://t.co/hkR4QwN9EO,Trump,negative
12,1322419964729532416,Sat Oct 31 06:07:43 +0000 2020,OfficerMaga,@SgtCock69 @ZoopWolf Insurrection Act is hopefully on the table when Trump is re-elected.,Trump,negative
13,1322419964607750146,Sat Oct 31 06:07:43 +0000 2020,jirpjirp,RT @deadeyebrakeman: this is every trump bot account https://t.co/C4oE7UWp2U,Trump,negative
14,1322419964519743488,Sat Oct 31 06:07:43 +0000 2020,SamGeneHaddock1,"RT @QU33NLiON3SS: 💞🇺🇲💞🇺🇲💞🇺🇲💞
Teach em young! 

My 3 year-old grandbaby says ""Trump Trump Trump"" while we watch @realDonaldTrump rallies. 
💞…",Trump,positive
15,1322419964289036289,Sat Oct 31 06:07:43 +0000 2020,maryfranholm,"RT @tomiahonen: FABULOUS list, pls check out, excellent writing. From a real suburban woman and why Trump is getting it all wrong. 10 thing…",Trump,positive
16,1322419964138070017,Sat Oct 31 06:07:43 +0000 2020,Ikester8,"@LGovment @apm_writer @pshinn This just reports their affiliation, not how they voted. I know this Independent vote… https://t.co/lHRKRSrgS8",Trump,negative
17,1322419963462742016,Sat Oct 31 06:07:43 +0000 2020,HumanChain5,"RT @ReallyAmerican1: Late night reminder: Trump is compromised by foreign governments (Saudis/Russians/Chinese) #TrumpIsCompromised
 https:…",Trump,positive
18,1322419962926026753,Sat Oct 31 06:07:43 +0000 2020,Adrienne65,"RT @anniekarni: Angry at restrictions on gatherings in Minnesota that prevented him from speaking in front of a large crowd of supporters,…",Trump,negative
19,1322419962917498880,Sat Oct 31 06:07:43 +0000 2020,lorrie_cartier,"RT @TheRealHoarse: Taylor Swift has 87.3 million followers on Twitter - the exact same number as Trump.

This is the first campaign ad she…",Trump,positive
20,1322419962913456132,Sat Oct 31 06:07:43 +0000 2020,TRwolfrum,"RT @samanthamarika1: The scariest thing to be is a SILENCED American. 

Vote Donald J. Trump to save our freedom of speech. https://t.co/j4…",Trump,negative
21,1322419962875576320,Sat Oct 31 06:07:43 +0000 2020,kimmy6192004,"RT @donwinslow: Trump is doing *14* events over the next three days.

14.",Trump,positive
