,id,Created at,Screen Name,Tweet Text,Subject
0,1321905314665410560,Thu Oct 29 20:02:41 +0000 2020,RBReich,"When you vote, remember that Trump's golf trips have cost taxpayers $142,000,000. That's equivalent to 355 years of presidential salary.",Trump
1,1321860390100201474,Thu Oct 29 17:04:10 +0000 2020,RealJamesWoods,"This smug little number saying her company, #Google, shouldn’t be broken up. Why? Because smaller companies won’t h… https://t.co/XCxmoS4YTc",Trump
2,1322424354139828224,Sat Oct 31 06:25:10 +0000 2020,Richielynn8,@RealKiraDavis @realDonaldTrump Lots of Trump flags &amp; yard signs in my town. Haven't ran across any biden flags.… https://t.co/1qbXAxFPOm,Trump
3,1322424352923668480,Sat Oct 31 06:25:09 +0000 2020,EChesspiece,@Kusandra Trump will still be your President in the next 4 years.,Trump
4,1322424352520900609,Sat Oct 31 06:25:09 +0000 2020,DavidOry,RT @cmclymer: This document is fascinating. The Trump White House compiled 34 pages of celebrity outreach information with details on their…,Trump
5,1322424352487272448,Sat Oct 31 06:25:09 +0000 2020,dizzzydancer,"RT @FrankAmari2: @realDonaldTrump Before voting, please read the attached!!

From CHRISTIANITY TODAY, founded by Billy Graham:

""TRUMP SHOU…",Trump
6,1322424351988146178,Sat Oct 31 06:25:09 +0000 2020,SophieJean66,@_SusanSams @vegix Do not go to Home Depot.  The owner supported trump at the beginning but they also are anti-LGBTQ+,Trump
7,1322424351954591746,Sat Oct 31 06:25:09 +0000 2020,RubyyRubs,"RT @momsdontrave: vote for trump or do coke

me:",Trump
8,1322424351929458689,Sat Oct 31 06:25:09 +0000 2020,cbreezy1998,"RT @washingtonpost: Donald Trump Jr. said covid-19 deaths are at ""almost nothing."" The virus killed more than 1,000 Americans the same day.…",Trump
9,1322424351891746816,Sat Oct 31 06:25:09 +0000 2020,HughMunro16,https://t.co/GXcWxyk9ss now it won’t matter what Trump does. Biden will be coming in and cleaning out the Trumpy ra… https://t.co/YUK7LZRQKx,Trump
10,1322424351149338625,Sat Oct 31 06:25:09 +0000 2020,IvantaTump,"RT @summerisunique: Do yall every stop and think how sad it is, over 200,000 ppl have died alone with no family by their side from trump vi…",Trump
11,1322424351103184897,Sat Oct 31 06:25:09 +0000 2020,GunnerJingo,"RT @ColumbiaBugle: Michael Moore not sounding too optimistic about Joe Biden

“Whatever they’re saying the Biden lead is cut it in half.”…",Trump
12,1322424350855757825,Sat Oct 31 06:25:09 +0000 2020,sandra_united,RT @Mooncatadams: ‘Mind-blowing’: Experts stunned by 3 AM Trump tweets threatening Supreme Court Justices - https://t.co/cHFn151zKP,Trump
13,1322424350776020992,Sat Oct 31 06:25:09 +0000 2020,Francis47990617,"RT @thehill: President Trump: ""Biden is a grimy, sleazy, and corrupt career politician."" https://t.co/rPga5bApYi",Trump
14,1322424350298021888,Sat Oct 31 06:25:09 +0000 2020,patehosplace,"RT @dbongino: If Donald Trump wins again, despite
-Twitter
-Facebook
-Google
-The entire mainstream media
-The deep staters in the intell c…",Trump
15,1322424349761040385,Sat Oct 31 06:25:09 +0000 2020,yp780201,RT @EllenKurz: Brett Kavanaugh doesn’t want your vote to count. Amy Coney Barrett doesn’t want your vote to count. Mitch McConnell doesn’t…,Trump
16,1322424349194944513,Sat Oct 31 06:25:08 +0000 2020,PeteyBags,"RT @DonaldJTrumpJr: 🚨🚨🚨
Venezuelan dictator Nicolás Maduro is seen praising ""Comrade Biden""  and discussing their friendly 2015 meeting in…",Trump
17,1322424349031194625,Sat Oct 31 06:25:08 +0000 2020,thebreadlord,"RT @RBReich: With 900 Americans dying every day of Covid, new cases spiking, unemployment growing, evictions rising, more children hungry,…",Trump
18,1322424348934873088,Sat Oct 31 06:25:08 +0000 2020,LiPa67,"RT @jonathonj1970: Not that Bobby Orr will care, but his endorsement of Donald Trump is one of the most disappointing things I've ever read…",Trump
19,1322424348674826240,Sat Oct 31 06:25:08 +0000 2020,dirac7,RT @dieringer_jack: @ProjectLincoln It's time to put an end to the Trump-Pence era of deception and assault on the great American ethic of…,Trump
20,1322424348557209600,Sat Oct 31 06:25:08 +0000 2020,SunshineandHap,"RT @ChattJazz: .@playtwo .@glennkirschner2 .@B52Malmet .@jadedcreative .@realDonaldTrump Joe the picture of health, Trump barley ambulatory…",Trump
21,1322424348515332096,Sat Oct 31 06:25:08 +0000 2020,calicolocali,"RT @AngrierWHStaff: Over 90,000 new coronavirus cases and almost 1,000 deaths in the United States today, and Trump decided it was a good t…",Trump
22,1322424348125274112,Sat Oct 31 06:25:08 +0000 2020,ladyfalcon22,"RT @gtconway3d: ""What Trump is openly showing us is his intention to reshape the U.S. government from an institution designed to serve the…",Trump
23,1322424348054036480,Sat Oct 31 06:25:08 +0000 2020,AndreaMatthews9,"RT @Lawrence: The ""reporter"" who really knows how to cover a Trump rally is @jordanklepper",Trump
24,1322424347831672832,Sat Oct 31 06:25:08 +0000 2020,Vote2Win4GOP,RT @IngrahamAngle: Never forget @GovTimWalz allowed Minneapolis’s 3rd Precinct to be torched by rioters.  But months later he made sure to…,Trump
25,1322424347701714946,Sat Oct 31 06:25:08 +0000 2020,Texas_Gal49,"RT @AmicaAli: AMA is lying. 
Nurses are lying.
Doctors are lying.
The WHO is lying.
Coroners are lying.
Hospitals are lying.
Scientists are…",Trump
26,1322424347672412160,Sat Oct 31 06:25:08 +0000 2020,syleisw,"RT @NBCNews: A 64-page document asserting an elaborate conspiracy theory involving Joe Biden's son and business in China, that was later di…",Trump
27,1322424347491889153,Sat Oct 31 06:25:08 +0000 2020,thecrossrds,"We’re excited to have @DrLisaCResearch, Coordinator of @YWILPFPeace, join our upcoming Zoom event on Nov 5th: Austr… https://t.co/inBn2A0jhJ",Trump
28,1322424347420745728,Sat Oct 31 06:25:08 +0000 2020,donbuckleyjr,"RT @joncoopertweets: “I’m as Republican as it gets. A conservative Republican. But Donald Trump is an embarrassment, to our party, to our c…",Trump
29,1322424347311644672,Sat Oct 31 06:25:08 +0000 2020,arendsen_a,@monolithgraphi1 @jimfusillibooks @AndrewHClark @TeamTrump what’s the difference with Trump supporters ? https://t.co/WeJphYrq3v,Trump
30,1322424347282210816,Sat Oct 31 06:25:08 +0000 2020,kuu808,"RT @DavidLaufmanLaw: In all of my years of public service in national security affairs, I would never have imagined that US government offi…",Trump
31,1322424346913185792,Sat Oct 31 06:25:08 +0000 2020,FizzyLizd,"RT @JoyAnnReid: If this doesn't motivate Kentuckians to kick Mitch McConnell out of office, which they can absolutely do on Tuesday, I don'…",Trump
32,1322424346556698625,Sat Oct 31 06:25:08 +0000 2020,SJB2448,"Of this happened to the #tRump campaign, he'd be calling out everyone from the proud boys to the #military... Like… https://t.co/Ky4ob8b7Ak",Trump
33,1322424346531561472,Sat Oct 31 06:25:08 +0000 2020,cgb88,This is awesome. No way Biden can get 1/10th of the crowd they kept out of the Trump rally in #MinnesotaforTrump https://t.co/aYzVUbGQoG,Trump
34,1322424345927581696,Sat Oct 31 06:25:08 +0000 2020,LasseWeiskvist,@wowthatshiphop Because Wayne want to help Black people? He didn't Say he was voting for Trump,Trump
35,1322424345747103744,Sat Oct 31 06:25:08 +0000 2020,scardboy,"Trump baselessly claims doctors are inflating coronavirus death counts for money as cases again hit record levels

leaves this",Trump
36,1322424345256321024,Sat Oct 31 06:25:08 +0000 2020,JlRosay,"RT @icecube: Instead of going back and forth Congressman, please release the Zoom meeting so the world can see what was said by all.  https…",Trump
