,id,Created at,Screen Name,Tweet Text,sentiment
0,1321203946883444738,Tue Oct 27 21:35:42 +0000 2020,kylegriffin1,"Breaking: New NYT tax report.

Trump's federal income tax records show for the first time that, since 2010, Deutsch… https://t.co/vR8Saha7D7",positive
1,1321138640794378242,Tue Oct 27 17:16:12 +0000 2020,Fahrenthold,NEW: Previously un-released documents show the government has paid $2.5 million to @realdonaldtrump's businesses. F… https://t.co/BigIarX1ho,negative
2,1321232759516528640,Tue Oct 27 23:30:11 +0000 2020,RepAdamSchiff,"There is no limit to this Administration’s corruption and self-dealing.

Trump compelled the government to patroniz… https://t.co/XJi3Tx2Xg5",positive
3,1321725945775095808,Thu Oct 29 08:09:56 +0000 2020,GoldenStagNJ,HELL YEAH!!!!!! VOTE TRUMP!!!!! #Trump2020Landslide https://t.co/T92Yl8BuHj,negative
4,1321725944869068805,Thu Oct 29 08:09:56 +0000 2020,kbbilly,"RT @StevenBeschloss: Just like Trump told Bob Woodward in February the virus is “deadly stuff,” you know he knows how dangerous and deadly…",positive
5,1321725944504160256,Thu Oct 29 08:09:56 +0000 2020,TooShredToQuit,"RT @FoxNews: AOC appears in Vanity Fair in outfits worth $14,000 to curse Trump out https://t.co/9caagOKAri",negative
6,1321725944407621632,Thu Oct 29 08:09:56 +0000 2020,lemonicco,RT @Wut_Alex: The trump supporters in OC have to remember that he denied California wildfire aid,positive
7,1321725944294506498,Thu Oct 29 08:09:56 +0000 2020,skipz,"RT @MeidasTouch: Between the Omaha disaster and this, could it be any clearer how little Trump cares about his supporters? https://t.co/wxp…",negative
8,1321725944210575360,Thu Oct 29 08:09:56 +0000 2020,MikeTho64757224,@wesbury You should add one more credential to your bio. “Trump shill and supreme ass-kisser of the month finalist”… https://t.co/Bw22QH9VzQ,negative
9,1321725943480635392,Thu Oct 29 08:09:56 +0000 2020,Joy73779478,@CNNPolitics Hahaha She’s as delusional as her fat orange spouse. He was the idiot in chief denying covid. He was i… https://t.co/k7T1DF8fgk,negative
10,1321725942746828800,Thu Oct 29 08:09:55 +0000 2020,m0rjc,@Nigel_Farage Like minds are attracted to eachother. I'm not sure whether you sully Trump or Trump sullies you more.,positive
11,1321725942448881666,Thu Oct 29 08:09:55 +0000 2020,burkemichael,"So when Trump’s finally gone, this place will empty out like a row of portapottys on fire. Enjoy him while you can.",positive
12,1321725941379452928,Thu Oct 29 08:09:55 +0000 2020,DavidHerdson,@casinoroyalepb @AlastairMeeks I think he could do a lot more than that on Trump TV.,positive
13,1321725941354242048,Thu Oct 29 08:09:55 +0000 2020,BurrsPig,"RT @ProjectLincoln: The bigger the vote, the harder it will be for Trump to declare the election fraudulent. 

Vote.",negative
14,1321725941287129089,Thu Oct 29 08:09:55 +0000 2020,fabreeze1,@Nigel_Farage Nigel for PM. Trump for president 👍,negative
15,1321725939819204608,Thu Oct 29 08:09:55 +0000 2020,FranDixon13,"RT @MartinDaubney: Can you imagine how big the global temper tantrum will be if Trump wins after @Nigel_Farage endorsed him?

It will be li…",negative
16,1321725939160653825,Thu Oct 29 08:09:55 +0000 2020,thatgirldiane,RT @DeaconBlues0: Trump is doing more to stop people from voting than he is doing to stop people from dying.,positive
17,1321725938766389249,Thu Oct 29 08:09:54 +0000 2020,starmorastucky,RT @JoeBiden: It’s simple: Donald Trump thinks health care is a privilege. I think it is your right.,positive
18,1321725938367832065,Thu Oct 29 08:09:54 +0000 2020,GregTur65383853,"America can’t live and have an economy at the same time. Loser Trump, the science ignoramus pretending to be presid… https://t.co/8lhbikmDsP",positive
19,1321725937776500736,Thu Oct 29 08:09:54 +0000 2020,ZenTaoPrincess,RT @justinjm1: Conservatives who say racism is largely a spent force refuse to condemn or even acknowledge the monstrous racism coming from…,negative
20,1321725937705230338,Thu Oct 29 08:09:54 +0000 2020,ange_kylie,"RT @sissyroxx: Biden: 525 kids won't be reunited with their parents.
Trump: Good

Retweet the hell out of this!",positive
21,1321725937097023488,Thu Oct 29 08:09:54 +0000 2020,MMerajKKhan,"RT @nytimes: Stephen Miller, one of the key architects of the Trump administration’s severely restrictive immigration agenda, attacked Joe…",positive
22,1321725936396652544,Thu Oct 29 08:09:54 +0000 2020,StanOwnsIt,"RT @JackPosobiec: A Miles Taylor opened the Russia investigation on Trump

A Miles Taylor decided to keep your state locked down

A Miles T…",negative
23,1321725936304271360,Thu Oct 29 08:09:54 +0000 2020,OneilRoses,"RT @MeidasTouch: 1,000 tweets with #SickoTrump and we will release our latest ad. Warning. It's devastating for Trump.",positive
24,1321725936186830848,Thu Oct 29 08:09:54 +0000 2020,masg66,"RT @JournalistJG: @NateSilver538 No reason not to expect Kav. to lead a Barrett-packed majority to stop vote counting Nov 4!

Trump today:“…",positive
25,1321725936111374336,Thu Oct 29 08:09:54 +0000 2020,colpean89,"RT @hodgetwins: Trump asked why the Biden Corruption story wasn't trending. RT this if you're wondering the same. 

 @realDonaldTrump @Dona…",positive
26,1321725935461294080,Thu Oct 29 08:09:54 +0000 2020,GlynnHJ,@dmichaels17 @prosperi_gloria @KeithOlbermann @RexChapman You don’t need to be highly educated to know good from ba… https://t.co/BeHmlBqWJF,positive
27,1321725935205363717,Thu Oct 29 08:09:54 +0000 2020,VioletReads,"RT @JayneDutra: Joe Biden has been endorsed by 81 Nobel Prize recipients and nearly 500 General and Admirals.  

Donald Trump has been endo…",negative
28,1321725935087923202,Thu Oct 29 08:09:54 +0000 2020,gone4good2,"Trump's proposed budget called for cuts to Medicare. Wise up , America. https://t.co/RG6zN3Ojy8",negative
29,1321725934836350976,Thu Oct 29 08:09:54 +0000 2020,neildrewitt,"Exclusive: Biden stretches national lead in campaign’s final days, new poll finds https://t.co/IykSIJoHiw",positive
30,1321725934798557185,Thu Oct 29 08:09:53 +0000 2020,redgraeme,"RT @SholaMos1: Nigel Farage endorses #Trump as 'leader of the free world' while Trump calls him 'the most powerful man in Europe'.

Two del…",positive
31,1321725934760873985,Thu Oct 29 08:09:53 +0000 2020,LadyLiberty4syt,RT @TGalore2: @JohnsHopkins @JustinLessler @khgrantz @JohnsHopkinsSPH Trump rallies.,negative
32,1321725934714716161,Thu Oct 29 08:09:53 +0000 2020,Jlarlat1,"RT @NPR: President Trump's approach to handling coronavirus is clear from his record. What would Joe Biden do? 

Among his proposals:
• Nat…",negative
33,1321725932508487681,Thu Oct 29 08:09:53 +0000 2020,upchuck66,"RT @kelly2277: 🔥Russian hackers cloaked attacks using Iranian group - so it looks like ⁦@DNI_Ratcliffe⁩, ⁦@GOP⁩ and Trump LIED about Iran e…",negative
34,1321725932508450816,Thu Oct 29 08:09:53 +0000 2020,CynderIm,"RT @Acosta: At Trump rally in Phoenix area, I was told by a supporter of the president to “get the hell out of our country.” Tell that to m…",negative
35,1321725932466397185,Thu Oct 29 08:09:53 +0000 2020,JMDelga82664720,RT @Acosta: This happens at just about every Trump rally. I’ve covered five presidential campaigns... long enough to know this isn’t normal…,negative
36,1321725932030275584,Thu Oct 29 08:09:53 +0000 2020,non1amato,"RT @thejtlewis: This guy lays out the case for re-electing Trump better than almost anyone....
 https://t.co/888vnFYKKk",negative
37,1321725932009377792,Thu Oct 29 08:09:53 +0000 2020,Trigger21111888,"@DonaldJTrumpJr @JoeBiden Trump jr, don't follow your father down the wrong path. For hell and the judgement of the… https://t.co/6iz9ZKjFto",negative
