,keyword,sentiment,tweet_id,tweet_text
0,apple,positive,126415614616154112,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
2,apple,positive,126402758403305474,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
3,apple,positive,126397179614068736,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
6,apple,positive,126379685453119488,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
7,apple,positive,126377656416612353,Great up close & personal event @Apple tonight in Regent St store!
8,apple,positive,126373779483004928,From which companies do you experience the best customer service aside from @zappos and @apple?
11,apple,positive,126365858481188864,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
13,apple,positive,126360398885687296,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
15,apple,positive,126357982685569024,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
17,apple,positive,126352268705538048,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
22,apple,positive,126342268603998208,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty."
23,apple,positive,126325800080392193,@DailyDealChat @apple Thanks!!
24,apple,positive,126324177501302784,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
26,apple,positive,126322063332999169,@apple @siri is efffing amazing!!
28,apple,positive,126318009647235072,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
29,apple,positive,126315223060709376,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z"
31,apple,positive,126314687116750849,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
33,apple,positive,126311981564178432,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
36,apple,positive,126301956951117826,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
37,apple,positive,126287654093471745,At the bus with my iPhone ;) thxx @apple
38,apple,positive,126284506360578049,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app."
40,apple,positive,126263834968211456,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
41,apple,positive,126256230397259776,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
43,apple,positive,126195522691280896,@bkad5161 than apologize to @apple ;)
45,apple,positive,126180209501286400,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI"
46,apple,positive,126164430546403328,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
48,apple,positive,126140794078892033,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
49,apple,positive,126134400466419712,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
51,apple,positive,126116898051076096,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple"
52,apple,positive,126116614495154176,Well at least the @apple store has amazing call waiting music! #need4s
53,apple,positive,126112836219973632,#sweet... #apple replaced my glass #probono. thank you @apple
54,apple,positive,126107965991297024,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
55,apple,positive,126104732426186752,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology"
56,apple,positive,126097426493878272,I'm loving this new IOS5 update :) @apple
57,apple,positive,126095744531832832,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
59,apple,positive,126084907343691776,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
62,apple,positive,126076238375817216,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
63,apple,positive,126075534894571520,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
64,apple,positive,126064519943426048,@apple loving the new IOS5 upgrade for the iPhone!
66,apple,positive,126063358037340161,Once again getting great customer service from the @apple store at millenia mall.
67,apple,positive,126059405941809152,Is it just me or is #iOS5 faster for the iPad? @apple
69,apple,positive,126057030996852737,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
72,apple,positive,126040074595999746,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
74,apple,positive,126034495991328768,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
75,apple,positive,126026756623831041,@Apple Safari Reader owns the worldwide web
76,apple,positive,126019393460244481,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
78,apple,positive,126009748020658177,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
79,apple,positive,126008369562652672,"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)"
80,apple,positive,126002597063696384,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
81,apple,positive,125999676972470272,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w"
84,apple,positive,125978568726560768,"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!"
86,apple,positive,125974505385500672,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
88,apple,positive,125959059957485569,I just sent my grandma a post card using my #CardsApp thanks @Apple
90,apple,positive,125947912306954240,"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive."
93,apple,positive,125940394566483968,"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)"
97,apple,positive,125924446430183425,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
98,apple,positive,125922999651139584,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
102,apple,positive,125902301931126785,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
103,apple,positive,125901202591461376,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
104,apple,positive,125900497327636480,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
106,apple,positive,125850288488841217,"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone"
107,apple,positive,125840039031738368,@apple your simply the best.
109,apple,positive,125794931439702016,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
110,apple,positive,125728717942161408,"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness"
112,apple,positive,125722746100531200,Loving the new iPod update @apple
113,apple,positive,125717622728818688,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
115,apple,positive,125713935344214016,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
116,apple,positive,125712433087123456,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
117,apple,positive,125708639607599104,Loving my new #iPhone4S thanks @apple for #ios5
123,apple,positive,125681742760771584,@apple Siri is amazing
125,apple,positive,125677424565424128,"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple"
127,apple,positive,125667241978114048,"So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac"
129,apple,positive,125664375364255744,I ♥ @Apple http://t.co/a8on3IAa
130,apple,positive,125662399217930240,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
131,apple,positive,125652668080336896,Loving #iOS5 !! #awesome @Apple
132,apple,positive,125648027045199873,"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}"
134,apple,positive,125643107260829697,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??
137,apple,positive,125628199269961729,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
138,apple,positive,125623745284018176,"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done."
139,apple,positive,125618466353983488,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...
141,apple,positive,125610372727193601,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s
142,apple,positive,125608381431025664,I &lt;3 @apple http://t.co/ondXWpEr
143,apple,positive,125596541028282369,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.
145,apple,positive,125585606100267008,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D
146,apple,positive,125562428200202240,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
147,apple,positive,125561950376701952,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
148,apple,positive,125550135911518209,"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple."
149,apple,positive,125547297072357376,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
150,apple,positive,125539788546781185,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple
151,apple,positive,125537993942515712,@RickySinghPT got a new backside for my eye phone! V impressed with @apple
152,apple,positive,125537578974851072,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
155,apple,positive,125524107386302465,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
157,apple,positive,125501576952553472,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple
158,apple,positive,125501281753251840,@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required
160,apple,positive,125459338524499969,"Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson."
162,apple,positive,125455260801179648,"I absolutely love my iPhone 4S. Thank you, Steve and @apple."
164,apple,positive,125423290767507456,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s
167,apple,positive,125407532893224962,"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature"
169,apple,positive,125402412147146752,@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!
170,apple,positive,125393816470568961,#iOS5 update submitted to @apple! Thanks for all the support!
172,apple,positive,125356807626559488,Awesome service from the @apple store in pc. Thanks chris!
174,apple,positive,125338216411828224,I am crazy about #iOS5 . The photo cropping is the best! @apple
175,apple,positive,125333598197911552,.@apple thanks for fixing this... http://t.co/wTj1ogDO
178,apple,positive,125313088160411649,@apple has changed life.
