,id,Created at,Screen Name,Tweet Text,President
0,1320817236106330112,Mon Oct 26 19:59:03 +0000 2020,realDonaldTrump,"Last week, Joe Biden made perhaps the most shocking admission ever uttered in the history of presidential debates.… https://t.co/AXHsTSeYZc",Trump
1,1320689314506964997,Mon Oct 26 11:30:44 +0000 2020,realDonaldTrump,Joe Biden called me George yesterday. Couldn’t remember my name. Got some help from the anchor to get him through t… https://t.co/NbdE04IZMo,Trump
2,1321042109789589505,Tue Oct 27 10:52:37 +0000 2020,thetarapowers,RT @RealJamesWoods: The socialist wing of the Democrats played this beautifully. Funded BLM riots forced declining Biden to pick Kamala Har…,Trump
3,1321042108040531969,Tue Oct 27 10:52:36 +0000 2020,BHeMatrix,👍 Liked on #YouTube: Young Voters Scathing Rebuke Of Biden &amp; Kamala In MSNBC Townhall https://t.co/dBExSQqbXk - Powered by #IFTTT,Trump
4,1321042106794659841,Tue Oct 27 10:52:36 +0000 2020,PhilipW30450476,"RT @michaeljohns: One more major question #media are not pursuing:

#Biden's financial disclosure reveals he earned over $16 million in inc…",Trump
5,1321042106564153344,Tue Oct 27 10:52:36 +0000 2020,ae995tony,RT @bigleaguepol: SHOCKING New Texts Indicate Hunter Biden Had Been Told by Parents to Stay Away from a Minor https://t.co/HfwJIgjMZJ,Trump
6,1321042105691742208,Tue Oct 27 10:52:36 +0000 2020,SusanKay5704,"RT @nytimes: Michael Bloomberg, the billionaire former New York City mayor, is funding a last-minute advertising blitz to bolster Joe Biden…",Trump
7,1321042105180061697,Tue Oct 27 10:52:36 +0000 2020,David_LaTorre,"RT @ScottPaterno: Biden isn’t on “offense” anywhere. He’s in hiding letting outside money fight for him. 

It’s incredible how much money t…",Trump
8,1321042104324362240,Tue Oct 27 10:52:36 +0000 2020,Nigcheloui,RT @KFravahar: Joe Biden Embarrassingly Delivers his WORST Speech at Pennsylvania RALLY... https://t.co/fDfpXJ0O4m via @YouTube,Trump
9,1321042104097755136,Tue Oct 27 10:52:36 +0000 2020,BobMagaw,"@anglicanrichard @gdeguzman99 @FreeTheWH @LaineyRubin @TheNakedParty @honorayork2 
National Poll Average Comparison… https://t.co/ucaO5t9sOC",Trump
10,1321042103066103808,Tue Oct 27 10:52:35 +0000 2020,GameLandAmazing,"RT @Tyrunner0097: @nancybabs @politico The polls for Michigan are climbing for Biden, even locally. RealClearPolitics has changed MI from T…",Trump
11,1321042101900091392,Tue Oct 27 10:52:35 +0000 2020,DossierTibet,RT @anderscorr: 600 groups in the US are in regular contact with #China's consulate and purposively influencing the policy environment lead…,Trump
12,1321042101430341634,Tue Oct 27 10:52:35 +0000 2020,BHeMatrix,👍 Liked on #YouTube: EDWARD SNOWDEN Persecuted By BIDEN! https://t.co/W5YeXBHvqa - Powered by #IFTTT,Trump
13,1321042101300244480,Tue Oct 27 10:52:35 +0000 2020,HcattleCircle,@WhiteHouse Who believes anything from this administration? This administration is bring America down. Anyone who s… https://t.co/01yyM9HBsg,Trump
14,1321042100411002880,Tue Oct 27 10:52:35 +0000 2020,MsSG2425002,"RT @dilangzhong: Video 6: The second wave of shock bombshell of Hunter Biden’s Laptop From Hell is coming!

Fallen families are the CCP's b…",Trump
15,1321042100088176642,Tue Oct 27 10:52:35 +0000 2020,BobbyJayhawk,"@whittierte @kouroshbehnam @GadSaad @KamalaHarris @60Minutes @JoeBiden Well, in 1987, well before his presidential… https://t.co/yGD3PaSHWd",Trump
16,1321042098456567809,Tue Oct 27 10:52:34 +0000 2020,dhstn,@JasonMillerinDC @nypost Traders in recent weeks have been piling into bets that a “blue wave” election will produc… https://t.co/kNOZCWR630,Trump
17,1321042097428926464,Tue Oct 27 10:52:34 +0000 2020,Trew1Trew,"probably his use of the word ""complaining"" may have sounded like it was trivilializing them, but since good policie… https://t.co/oGHRCuIuCA",Trump
18,1321042097051500551,Tue Oct 27 10:52:34 +0000 2020,davepuff68,Some early voters want to change their vote after Hunter Biden exposés https://t.co/yfTxsyer08 via @nypost,Trump
19,1321042095751258112,Tue Oct 27 10:52:34 +0000 2020,HeavenShirt1,Heavenshirt  Our votes will shut him up vote biden harris shirt .At that time alcohol was not allowed on the dining… https://t.co/CCwC5V2wWE,Trump
20,1321042094316785664,Tue Oct 27 10:52:33 +0000 2020,CrystalRuhde,"RT @mmpadellan: HOLY SHIT!!! They just played our @ReallyAmerican1 ad on The 11th Hour on @MSNBC!!!!

We are blasting this in Florida right…",Trump
21,1321042092634898432,Tue Oct 27 10:52:33 +0000 2020,Random_Guy_101_,"The world is watching the U.S. vote
https://t.co/3YpbnLzPCf",Trump
22,1321042090814570497,Tue Oct 27 10:52:32 +0000 2020,USACountry1st,"RT @charliekirk11: This is what Pennsylvania looks like under Democrat control—violence in the streets after cops shot an armed, violent ma…",Trump
23,1321042089824653313,Tue Oct 27 10:52:32 +0000 2020,DEGuarino1,@LouiseMensch @HillaryClinton @JoeBiden How can Joe Biden do that as a senile old fool at the nursing home? Assumin… https://t.co/DxuESpVGrj,Trump
24,1321042088356528130,Tue Oct 27 10:52:32 +0000 2020,squawkitcat1,"RT @Mike_Pence: When Joe Biden was Vice President, he withdrew the mineral rights for the Nation’s largest untapped copper and nickel reser…",Trump
25,1321042088054738944,Tue Oct 27 10:52:32 +0000 2020,vph3rd,"RT @BryanDeanWright: This ad is a MOAB for Dr. Fauci’s reputation and Biden’s virus talking points.

Nothing left of either. 

https://t.co…",Trump
26,1321042087572361217,Tue Oct 27 10:52:32 +0000 2020,grundybluecolie,"RT @DarrenPlymouth: Biden is a joke candidate, this is simply embarrassing for a potential future president.

https://t.co/CrNth5fNEI",Trump
27,1321042085919793154,Tue Oct 27 10:52:31 +0000 2020,mac_gardiner12,RT @TheDailyEdge: Joe Biden will be “a seasoned hand at the controls”... there will be “a Democratic All-Star team in the Administration.”…,Trump
28,1321042085823291393,Tue Oct 27 10:52:31 +0000 2020,spacechick1958,@mmpadellan I trust Joe Biden to do what he told us he would do And listen to the experts.,Trump
29,1321042085433233409,Tue Oct 27 10:52:31 +0000 2020,nut4tennis,"RT @IngrahamAngle: It’s all he has.  The real Biden running mate—Covid, not Kamala. https://t.co/Fqgjhxj5A7",Trump
31,1321042085185728512,Tue Oct 27 10:52:31 +0000 2020,DonnaMi91040484,"RT @davidmweissman: @DrBiden I served in two deployments in Afghanistan, thank you Dr Biden for thinking about those who deployed.#National…",Trump
32,1321042084997091329,Tue Oct 27 10:52:31 +0000 2020,danopticon,"@John_Kass That cooked-up piece of GRU agitprop was so obviously fraudulent, the Wall Street Journal gave it a wide… https://t.co/geQ9gVmznZ",Trump
33,1321042083898101760,Tue Oct 27 10:52:31 +0000 2020,NoreenBurns14,"RT @JoeBiden: The rushed and unprecedented confirmation of Amy Coney Barrett as Associate Justice to the Supreme Court, in the middle of an…",Trump
34,1321042083369656321,Tue Oct 27 10:52:31 +0000 2020,Randomwatcher51,"RT @GrandpaSnarky: Kayleigh McEnany Now Slams Biden as 'Radical Socialist, But CNN Found She Once Praised Him as a 'Man of the People'.
 ht…",Trump
